#id,quiz_data_id,option,correct
1,1,MSG_QUIZ_JAPANESE_QUESTION_OPTION_1,0
2,1,MSG_QUIZ_JAPANESE_QUESTION_OPTION_2,0
3,1,MSG_QUIZ_JAPANESE_QUESTION_OPTION_3,1
4,1,MSG_QUIZ_JAPANESE_QUESTION_OPTION_4,0
5,2,MSG_QUIZ_JAPANESE_QUESTION_OPTION_5,0
6,2,MSG_QUIZ_JAPANESE_QUESTION_OPTION_6,1
7,2,MSG_QUIZ_JAPANESE_QUESTION_OPTION_7,0
8,2,MSG_QUIZ_JAPANESE_QUESTION_OPTION_8,0
9,3,MSG_QUIZ_JAPANESE_QUESTION_OPTION_9,0
10,3,MSG_QUIZ_JAPANESE_QUESTION_OPTION_10,0
11,3,MSG_QUIZ_JAPANESE_QUESTION_OPTION_11,1
12,3,MSG_QUIZ_JAPANESE_QUESTION_OPTION_12,0
13,4,MSG_QUIZ_JAPANESE_QUESTION_OPTION_13,0
14,4,MSG_QUIZ_JAPANESE_QUESTION_OPTION_14,0
15,4,MSG_QUIZ_JAPANESE_QUESTION_OPTION_15,0
16,4,MSG_QUIZ_JAPANESE_QUESTION_OPTION_16,1
17,5,MSG_QUIZ_JAPANESE_QUESTION_OPTION_17,1
18,5,MSG_QUIZ_JAPANESE_QUESTION_OPTION_18,0
19,5,MSG_QUIZ_JAPANESE_QUESTION_OPTION_19,0
20,5,MSG_QUIZ_JAPANESE_QUESTION_OPTION_20,0
21,6,MSG_QUIZ_JAPANESE_QUESTION_OPTION_21,0
22,6,MSG_QUIZ_JAPANESE_QUESTION_OPTION_22,0
23,6,MSG_QUIZ_JAPANESE_QUESTION_OPTION_23,0
24,6,MSG_QUIZ_JAPANESE_QUESTION_OPTION_24,1
25,7,MSG_QUIZ_JAPANESE_QUESTION_OPTION_25,0
26,7,MSG_QUIZ_JAPANESE_QUESTION_OPTION_26,0
27,7,MSG_QUIZ_JAPANESE_QUESTION_OPTION_27,1
28,7,MSG_QUIZ_JAPANESE_QUESTION_OPTION_28,0
29,8,MSG_QUIZ_JAPANESE_QUESTION_OPTION_29,0
30,8,MSG_QUIZ_JAPANESE_QUESTION_OPTION_30,0
31,8,MSG_QUIZ_JAPANESE_QUESTION_OPTION_31,0
32,8,MSG_QUIZ_JAPANESE_QUESTION_OPTION_32,1
33,9,MSG_QUIZ_JAPANESE_QUESTION_OPTION_33,0
34,9,MSG_QUIZ_JAPANESE_QUESTION_OPTION_34,1
35,9,MSG_QUIZ_JAPANESE_QUESTION_OPTION_35,0
36,9,MSG_QUIZ_JAPANESE_QUESTION_OPTION_36,0
37,10,MSG_QUIZ_JAPANESE_QUESTION_OPTION_37,0
38,10,MSG_QUIZ_JAPANESE_QUESTION_OPTION_38,0
39,10,MSG_QUIZ_JAPANESE_QUESTION_OPTION_39,0
40,10,MSG_QUIZ_JAPANESE_QUESTION_OPTION_40,1
41,11,MSG_QUIZ_JAPANESE_QUESTION_OPTION_41,0
42,11,MSG_QUIZ_JAPANESE_QUESTION_OPTION_42,1
43,11,MSG_QUIZ_JAPANESE_QUESTION_OPTION_43,0
44,11,MSG_QUIZ_JAPANESE_QUESTION_OPTION_44,0
45,12,MSG_QUIZ_JAPANESE_QUESTION_OPTION_45,0
46,12,MSG_QUIZ_JAPANESE_QUESTION_OPTION_46,0
47,12,MSG_QUIZ_JAPANESE_QUESTION_OPTION_47,1
48,12,MSG_QUIZ_JAPANESE_QUESTION_OPTION_48,0
49,13,MSG_QUIZ_JAPANESE_QUESTION_OPTION_49,0
50,13,MSG_QUIZ_JAPANESE_QUESTION_OPTION_50,0
51,13,MSG_QUIZ_JAPANESE_QUESTION_OPTION_51,0
52,13,MSG_QUIZ_JAPANESE_QUESTION_OPTION_52,1
53,14,MSG_QUIZ_JAPANESE_QUESTION_OPTION_53,0
54,14,MSG_QUIZ_JAPANESE_QUESTION_OPTION_54,1
55,14,MSG_QUIZ_JAPANESE_QUESTION_OPTION_55,0
56,14,MSG_QUIZ_JAPANESE_QUESTION_OPTION_56,0
57,15,MSG_QUIZ_JAPANESE_QUESTION_OPTION_57,1
58,15,MSG_QUIZ_JAPANESE_QUESTION_OPTION_58,0
59,15,MSG_QUIZ_JAPANESE_QUESTION_OPTION_59,0
60,15,MSG_QUIZ_JAPANESE_QUESTION_OPTION_60,0
61,16,MSG_QUIZ_JAPANESE_QUESTION_OPTION_61,0
