#id,quiz_data_id,option,correct
1,1,MSG_QUIZ_TOEIC_QUESTION_OPTION_1,0
2,1,MSG_QUIZ_TOEIC_QUESTION_OPTION_2,1
3,2,MSG_QUIZ_TOEIC_QUESTION_OPTION_3,0
4,2,MSG_QUIZ_TOEIC_QUESTION_OPTION_4,1
5,3,MSG_QUIZ_TOEIC_QUESTION_OPTION_5,0
6,3,MSG_QUIZ_TOEIC_QUESTION_OPTION_6,1
7,4,MSG_QUIZ_TOEIC_QUESTION_OPTION_7,0
8,4,MSG_QUIZ_TOEIC_QUESTION_OPTION_8,1
9,5,MSG_QUIZ_TOEIC_QUESTION_OPTION_9,0
10,5,MSG_QUIZ_TOEIC_QUESTION_OPTION_10,1
11,6,MSG_QUIZ_TOEIC_QUESTION_OPTION_11,0
12,6,MSG_QUIZ_TOEIC_QUESTION_OPTION_12,1
13,7,MSG_QUIZ_TOEIC_QUESTION_OPTION_13,0
14,7,MSG_QUIZ_TOEIC_QUESTION_OPTION_14,1
15,8,MSG_QUIZ_TOEIC_QUESTION_OPTION_15,0
16,8,MSG_QUIZ_TOEIC_QUESTION_OPTION_16,1
17,9,MSG_QUIZ_TOEIC_QUESTION_OPTION_17,0
18,9,MSG_QUIZ_TOEIC_QUESTION_OPTION_18,1
19,10,MSG_QUIZ_TOEIC_QUESTION_OPTION_19,0
20,10,MSG_QUIZ_TOEIC_QUESTION_OPTION_20,1
21,11,MSG_QUIZ_TOEIC_QUESTION_OPTION_21,0
22,11,MSG_QUIZ_TOEIC_QUESTION_OPTION_22,1
23,12,MSG_QUIZ_TOEIC_QUESTION_OPTION_23,0
24,12,MSG_QUIZ_TOEIC_QUESTION_OPTION_24,1
25,13,MSG_QUIZ_TOEIC_QUESTION_OPTION_25,0
26,13,MSG_QUIZ_TOEIC_QUESTION_OPTION_26,1
27,14,MSG_QUIZ_TOEIC_QUESTION_OPTION_27,0
28,14,MSG_QUIZ_TOEIC_QUESTION_OPTION_28,1
29,15,MSG_QUIZ_TOEIC_QUESTION_OPTION_29,0
30,15,MSG_QUIZ_TOEIC_QUESTION_OPTION_30,1
31,16,MSG_QUIZ_TOEIC_QUESTION_OPTION_31,0
32,16,MSG_QUIZ_TOEIC_QUESTION_OPTION_32,1
33,17,MSG_QUIZ_TOEIC_QUESTION_OPTION_33,0
34,17,MSG_QUIZ_TOEIC_QUESTION_OPTION_34,1
35,18,MSG_QUIZ_TOEIC_QUESTION_OPTION_35,0
36,18,MSG_QUIZ_TOEIC_QUESTION_OPTION_36,1
37,19,MSG_QUIZ_TOEIC_QUESTION_OPTION_37,0
38,19,MSG_QUIZ_TOEIC_QUESTION_OPTION_38,1
39,20,MSG_QUIZ_TOEIC_QUESTION_OPTION_39,0
40,20,MSG_QUIZ_TOEIC_QUESTION_OPTION_40,1
41,21,MSG_QUIZ_TOEIC_QUESTION_OPTION_41,0
42,21,MSG_QUIZ_TOEIC_QUESTION_OPTION_42,1
43,22,MSG_QUIZ_TOEIC_QUESTION_OPTION_43,0
44,22,MSG_QUIZ_TOEIC_QUESTION_OPTION_44,1
45,23,MSG_QUIZ_TOEIC_QUESTION_OPTION_45,0
46,23,MSG_QUIZ_TOEIC_QUESTION_OPTION_46,1
47,24,MSG_QUIZ_TOEIC_QUESTION_OPTION_47,0
48,24,MSG_QUIZ_TOEIC_QUESTION_OPTION_48,1
49,25,MSG_QUIZ_TOEIC_QUESTION_OPTION_49,0
50,25,MSG_QUIZ_TOEIC_QUESTION_OPTION_50,1
51,26,MSG_QUIZ_TOEIC_QUESTION_OPTION_51,0
52,26,MSG_QUIZ_TOEIC_QUESTION_OPTION_52,1
53,27,MSG_QUIZ_TOEIC_QUESTION_OPTION_53,0
54,27,MSG_QUIZ_TOEIC_QUESTION_OPTION_54,1
55,28,MSG_QUIZ_TOEIC_QUESTION_OPTION_55,0
56,28,MSG_QUIZ_TOEIC_QUESTION_OPTION_56,1
57,29,MSG_QUIZ_TOEIC_QUESTION_OPTION_57,0
58,29,MSG_QUIZ_TOEIC_QUESTION_OPTION_58,1
59,30,MSG_QUIZ_TOEIC_QUESTION_OPTION_59,0
60,30,MSG_QUIZ_TOEIC_QUESTION_OPTION_60,1
61,31,MSG_QUIZ_TOEIC_QUESTION_OPTION_61,0
62,31,MSG_QUIZ_TOEIC_QUESTION_OPTION_62,1
63,32,MSG_QUIZ_TOEIC_QUESTION_OPTION_63,0
64,32,MSG_QUIZ_TOEIC_QUESTION_OPTION_64,1
65,33,MSG_QUIZ_TOEIC_QUESTION_OPTION_65,0
