#id,type,level,label
1,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_1
2,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_2
3,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_3
4,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_4
5,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_5
6,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_6
7,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_7
8,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_8
9,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_9
10,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_10
11,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_11
12,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_12
13,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_13
14,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_14
15,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_15
16,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_16
17,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_17
18,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_18
19,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_19
20,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_20
21,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_21
22,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_22
23,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_23
24,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_24
25,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_25
26,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_26
27,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_27
28,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_28
29,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_29
30,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_30
31,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_31
32,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_32
33,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_33
34,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_34
35,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_35
36,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_36
37,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_37
38,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_38
39,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_39
40,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_40
41,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_41
42,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_42
43,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_43
44,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_44
45,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_45
46,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_46
47,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_47
48,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_48
49,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_49
50,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_50
51,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_51
52,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_52
53,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_53
54,1,1,MSG_QUIZ_PROGRAMMING_QUESTION_54
