#id,type,level,label,desc_label
1,1,1,MSG_QUIZ_TOEIC_QUESTION_1,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_1
2,1,1,MSG_QUIZ_TOEIC_QUESTION_2,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_2
3,1,1,MSG_QUIZ_TOEIC_QUESTION_3,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_3
4,1,1,MSG_QUIZ_TOEIC_QUESTION_4,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_4
5,1,1,MSG_QUIZ_TOEIC_QUESTION_5,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_5
6,1,1,MSG_QUIZ_TOEIC_QUESTION_6,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_6
7,1,1,MSG_QUIZ_TOEIC_QUESTION_7,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_7
8,1,1,MSG_QUIZ_TOEIC_QUESTION_8,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_8
9,1,1,MSG_QUIZ_TOEIC_QUESTION_9,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_9
10,1,1,MSG_QUIZ_TOEIC_QUESTION_10,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_10
11,1,1,MSG_QUIZ_TOEIC_QUESTION_11,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_11
12,1,1,MSG_QUIZ_TOEIC_QUESTION_12,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_12
13,1,1,MSG_QUIZ_TOEIC_QUESTION_13,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_13
14,1,1,MSG_QUIZ_TOEIC_QUESTION_14,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_14
15,1,1,MSG_QUIZ_TOEIC_QUESTION_15,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_15
16,1,1,MSG_QUIZ_TOEIC_QUESTION_16,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_16
17,1,1,MSG_QUIZ_TOEIC_QUESTION_17,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_17
18,1,1,MSG_QUIZ_TOEIC_QUESTION_18,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_18
19,1,1,MSG_QUIZ_TOEIC_QUESTION_19,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_19
20,1,1,MSG_QUIZ_TOEIC_QUESTION_20,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_20
21,1,1,MSG_QUIZ_TOEIC_QUESTION_21,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_21
22,1,1,MSG_QUIZ_TOEIC_QUESTION_22,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_22
23,1,1,MSG_QUIZ_TOEIC_QUESTION_23,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_23
24,1,1,MSG_QUIZ_TOEIC_QUESTION_24,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_24
25,1,1,MSG_QUIZ_TOEIC_QUESTION_25,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_25
26,1,1,MSG_QUIZ_TOEIC_QUESTION_26,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_26
27,1,1,MSG_QUIZ_TOEIC_QUESTION_27,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_27
28,1,1,MSG_QUIZ_TOEIC_QUESTION_28,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_28
29,1,1,MSG_QUIZ_TOEIC_QUESTION_29,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_29
30,1,1,MSG_QUIZ_TOEIC_QUESTION_30,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_30
31,1,1,MSG_QUIZ_TOEIC_QUESTION_31,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_31
32,1,1,MSG_QUIZ_TOEIC_QUESTION_32,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_32
33,1,1,MSG_QUIZ_TOEIC_QUESTION_33,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_33
34,1,1,MSG_QUIZ_TOEIC_QUESTION_34,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_34
35,1,1,MSG_QUIZ_TOEIC_QUESTION_35,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_35
36,1,1,MSG_QUIZ_TOEIC_QUESTION_36,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_36
37,1,1,MSG_QUIZ_TOEIC_QUESTION_37,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_37
38,1,1,MSG_QUIZ_TOEIC_QUESTION_38,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_38
39,1,1,MSG_QUIZ_TOEIC_QUESTION_39,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_39
40,1,1,MSG_QUIZ_TOEIC_QUESTION_40,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_40
41,1,1,MSG_QUIZ_TOEIC_QUESTION_41,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_41
42,1,1,MSG_QUIZ_TOEIC_QUESTION_42,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_42
